"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,631.5,428.5,5340.5,44,12,67.9,8.5,19.5,4,0.2,0,NA,NA,NA,NA,NA,3,440
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,549.5,365,4659,37,7.5,66.4,8.5,50,210,4.2,2,NA,NA,NA,NA,NA,2,407
"DREWBREES","Drew Brees","QB","NO",3,3,647.5,426,5136.5,39,14,65.8,7.9,30.5,50.5,1.7,0.5,NA,NA,NA,NA,NA,1.5,404
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,644,398,5025,36.5,16.5,61.8,7.8,33.5,85.5,2.6,1,NA,NA,NA,NA,NA,2.5,384
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,491.5,305,4046,27,9.5,62.1,8.2,87.5,503,5.7,4.5,NA,NA,NA,NA,NA,2,364
"TOMBRADY","Tom Brady","QB","NE",6,6,637.5,399.5,4655,32.5,12.5,62.7,7.3,31,31.5,1,1.5,NA,NA,NA,NA,NA,3,351
"MATTRYAN","Matt Ryan","QB","ATL",7,7,638,422,4796.5,31.5,14,66.1,7.5,28,59.5,2.1,1,NA,NA,NA,NA,NA,2.5,347
"NICKFOLES","Nick Foles","QB","PHI",8,8,563.5,366.5,4512.5,30.5,13.5,65,8,55,205,3.7,1.5,NA,NA,NA,NA,NA,3,345
"TONYROMO","Tony Romo","QB","DAL",9,9,644.5,410,4619,33.5,16,63.6,7.2,24,43.5,1.8,0.5,NA,NA,NA,NA,NA,3,344
"ANDREWLUCK","Andrew Luck","QB","IND",10,10,583,358.5,4270.5,27.5,11.5,61.5,7.3,60.5,306.5,5.1,3.5,NA,NA,NA,NA,NA,3,342
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",11,11,503.5,312.5,3899,25,12,62.1,7.7,91.5,491,5.4,4,NA,NA,NA,NA,NA,2.5,332
"JAYCUTLER","Jay Cutler","QB","CHI",12,12,560.5,356,4187,31.5,13.5,63.5,7.5,28.5,143.5,5,1.5,NA,NA,NA,NA,NA,3,330
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",13,13,608.5,390.5,4471,30,14.5,64.2,7.3,29,89.5,3.1,1,NA,NA,NA,NA,NA,3.5,326
"CAMNEWTON","Cam Newton","QB","CAR",14,14,503,303.5,3785.5,23,15,60.3,7.5,100,521,5.2,5.5,NA,NA,NA,NA,NA,3,322
"PHILIPRIVERS","Philip Rivers","QB","SD",15,15,560.5,377,4566.5,29.5,14.5,67.3,8.1,28.5,56.5,2,0,NA,NA,NA,NA,NA,3.5,318
"CARSONPALMER","Carson Palmer","QB","ARI",16,16,566.5,357,4461.5,32,22,63,7.9,22.5,8,0.4,0,NA,NA,NA,NA,NA,3.5,313
"RUSSELLWILSON","Russell Wilson","QB","SEA",17,17,452,284.5,3683,25.5,13,62.9,8.1,88,430.5,4.9,2.5,NA,NA,NA,NA,NA,3.5,310
"ANDYDALTON","Andy Dalton","QB","CIN",18,18,538.5,335,3913.5,29,15.5,62.2,7.3,50.5,147,2.9,1.5,NA,NA,NA,NA,NA,3,300
"SAMBRADFORD","Sam Bradford","QB","STL",19,19,564,344.5,3873.5,28,12.5,61.1,6.9,31,106,3.4,1,NA,NA,NA,NA,NA,2.5,294
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,20,598.5,366.5,4303,23.5,16.5,61.2,7.2,50.5,252.5,5,1.5,NA,NA,NA,NA,NA,3.5,289
"ALEXSMITH","Alex Smith","QB","KC",21,21,540.5,326.5,3659,23.5,10,60.4,6.8,60.5,284.5,4.7,1.5,NA,NA,NA,NA,NA,3,284
"JOEFLACCO","Joe Flacco","QB","BAL",22,22,564,343.5,4023.5,25.5,16.5,60.9,7.1,31,87.5,2.8,0.5,NA,NA,NA,NA,NA,3,275
"ELIMANNING","Eli Manning","QB","NYG",23,23,521.5,331,3951.5,26,15,63.5,7.6,24,23,1,0,NA,NA,NA,NA,NA,2,271
"JOSHMCCOWN","Josh McCown","QB","TB",24,24,489.5,297,3553,25,13,60.7,7.3,30,109.5,3.6,1.5,NA,NA,NA,NA,NA,2,266
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,25,NA,NA,NA,NA,NA,NA,NA,260,1324,5.1,10,66.5,606.5,9.1,4,NA,2,256
"JAKELOCKER","Jake Locker","QB","TEN",25,26,441,271,3276,20,11.5,61.5,7.4,47.5,272.5,5.7,2.5,NA,NA,NA,NA,NA,2.5,251
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",26,27,435.5,264.5,3246.5,21,11,60.7,7.5,45,190,4.2,2,NA,NA,NA,NA,NA,2,246
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,28,NA,NA,NA,NA,NA,NA,NA,287.5,1475.5,5.1,10.5,40.5,379.5,9.4,2.5,NA,2,244
"MATTFORTE","Matt Forte","RB","CHI",3,29,NA,NA,NA,NA,NA,NA,NA,279,1304,4.7,8,64.5,532,8.2,3.5,NA,2,234
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",27,30,421.5,250,2961,15,12.5,59.3,7,83.5,466,5.6,3.5,NA,NA,NA,NA,NA,3,230
"CALVINJOHNSON","Calvin Johnson","WR","DET",1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1584,16.9,12.5,NA,1,224
"EJMANUEL","EJ Manuel","QB","BUF",28,32,458.5,274.5,3034.5,18,14.5,59.9,6.6,84,338.5,4,1.5,NA,NA,NA,NA,NA,3.5,221
"ADRIANPETERSON","Adrian Peterson","RB","MIN",4,33,NA,NA,NA,NA,NA,NA,NA,295,1367.5,4.6,10.5,44.5,288.5,6.5,1.5,NA,2.5,217
"GENOSMITH","Geno Smith","QB","NYJ",29,34,473,286,3126.5,16,12.5,60.5,6.6,43,222,5.2,3,NA,NA,NA,NA,NA,3,213
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,1453,15.3,12.5,NA,0.5,211
"EDDIELACY","Eddie Lacy","RB","GB",5,36,NA,NA,NA,NA,NA,NA,NA,273,1280,4.7,10.5,36,254,7.1,1,NA,1,205
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",6,37,NA,NA,NA,NA,NA,NA,NA,238,1188,5,9,54,403,7.5,1,NA,2,200
"MONTEEBALL","Montee Ball","RB","DEN",7,38,NA,NA,NA,NA,NA,NA,NA,256.5,1190.5,4.6,10,43,319,7.4,1.5,NA,2.5,198
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",8,39,NA,NA,NA,NA,NA,NA,NA,243,1173.5,4.8,6,55.5,497,9,2,NA,2.5,196
"DEZBRYANT","Dez Bryant","WR","DAL",3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1354,14,11.5,NA,1,194
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1213.5,13.9,13.5,NA,0,194
"JULIOJONES","Julio Jones","WR","ATL",4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,1357.5,15,10.5,NA,0.5,190
"MATTSCHAUB","Matt Schaub","QB","OAK",30,43,473.5,279,3133,17.5,14,58.9,6.6,24,24.5,1,0,NA,NA,NA,NA,NA,2.5,189
"AJGREEN","A.J. Green","WR","CIN",5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1311,14.4,10.5,NA,0,186
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",6,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,1290.5,12.2,10.5,NA,0,184
"ALFREDMORRIS","Alfred Morris","RB","WAS",9,46,NA,NA,NA,NA,NA,NA,NA,272.5,1317.5,4.8,9.5,16,124,7.8,0,NA,2.5,181
"LEVEONBELL","Le'Veon Bell","RB","PIT",9,46,NA,NA,NA,NA,NA,NA,NA,257,1131.5,4.4,7.5,43,342.5,8,1,NA,1,181
"JORDYNELSON","Jordy Nelson","WR","GB",7,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1276,15.9,10.5,NA,0.5,181
"ZACSTACY","Zac Stacy","RB","STL",11,49,NA,NA,NA,NA,NA,NA,NA,281,1215.5,4.3,8.5,30,192.5,6.4,1,NA,2,178
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",11,49,NA,NA,NA,NA,NA,NA,NA,270,1198,4.4,9,24,180.5,7.5,1,NA,2,178
"DOUGMARTIN","Doug Martin","RB","TB",13,51,NA,NA,NA,NA,NA,NA,NA,280.5,1212.5,4.3,7.5,31.5,241,7.7,1,NA,2,177
"ARIANFOSTER","Arian Foster","RB","HOU",14,52,NA,NA,NA,NA,NA,NA,NA,260,1136.5,4.4,5.5,42,346.5,8.2,2,NA,2,175
"ANTONIOBROWN","Antonio Brown","WR","PIT",8,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,1345,13.1,7.5,NA,0.5,172
