"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,443.704598976852,447.76,448.28,471,449.5,NA,437.92,462.98,437.98,435.32,447.8675,443.704598976852,17.9668777074309,12.6089375897756,7.9565,3.79697162708814
"DREWBREES","Drew Brees","QB","NO",2,412.876691880523,410.6,422.42,411.6,418.08,NA,401.92,417.42,416.22,405.78,413.11,412.876691880523,24.7747250916361,6.83543498459107,4.9826,2.77710241445999
"AARONRODGERS","Aaron Rodgers","QB","GB",3,405.011359353006,421.46,423.26,429.62,415.42,NA,376.74,413.2,410.08,379.08,407.1825,405.011359353006,23.348667110963,19.9230231139755,6.0739,4.50210580226362
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,365.872142215395,393.82,399.28,355.24,376.3,NA,362.96,329.06,361.58,354.92,365.595,365.872142215395,48.7116794401866,22.7287049470802,7.0739,4.95147745363958
"NICKFOLES","Nick Foles","QB","PHI",5,357.546410679322,343.3,376.7,338.06,366.64,NA,367.3,368.3,359.94,354.74,359.1625,357.546410679322,66.920793068977,13.2553727651416,9.9152,4.08002716412083
"ANDREWLUCK","Andrew Luck","QB","IND",6,352.43833984927,370.58,346.36,335.34,352.46,NA,362,344.1,373,342.48,352.6,352.43833984927,54.4544818393869,13.8126277628222,9.3978,4.09490676047368
"TOMBRADY","Tom Brady","QB","NE",7,344.313624020921,353.42,371.28,317.58,NA,NA,347.5,323.84,352.68,352,344.534285714286,344.313624020921,72.9493502165945,18.5912770124158,9.0565,4.64791458508193
"MATTRYAN","Matt Ryan","QB","ATL",8,343.025103728766,370.98,348.64,323.68,352.48,NA,322.76,338.4,347.48,348.92,342.6825,343.025103728766,73.2344051982672,15.8242704638882,15.1543,4.94055828949923
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,339.903757421687,363.14,393.14,316.52,354.24,NA,348.4,331.22,350.54,314.14,345.6825,339.903757421687,87.4129623458847,25.9433788690459,11.9891,5.85788793662174
"TONYROMO","Tony Romo","QB","DAL",10,339.779683079201,363.94,346.28,327.06,NA,NA,322.54,322.16,353.68,340.98,338.82,339.779683079201,85.1934355214928,16.2768383498352,12.9565,4.76800220663881
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",11,338.788738389585,360.32,339.8,337.86,352.2,NA,318.96,324.88,355.2,334.48,339.9675,338.788738389585,70.018127290903,14.6260879937186,11.4891,4.41230356350066
"CAMNEWTON","Cam Newton","QB","CAR",12,336.145878033662,342.94,334.1,336.3,340.62,NA,344.36,349.2,358.14,312.84,339.2725,336.145878033662,77.7915361546151,13.2429040298137,17.5543,4.87196963046993
"JAYCUTLER","Jay Cutler","QB","CHI",13,327.525420833131,356.98,336.68,307.72,NA,NA,328.84,312.66,335.54,315.18,327.94,327.525420833131,92.6812062645785,17.2378630870976,14.1891,5.01437691173241
"RUSSELLWILSON","Russell Wilson","QB","SEA",14,324.84669369821,331.74,319,328.26,NA,NA,342.88,330.14,340.58,307.84,327.154285714286,324.84669369821,106.987434187434,12.1306428204813,17.1304,4.6909713151141
"PHILIPRIVERS","Philip Rivers","QB","SD",15,320.811862219307,323.18,335.44,324.18,NA,NA,306.6,321.26,334.02,316.95,321.955714285714,320.811862219307,104.835671442852,9.88392803157394,15.3065,4.22485374802023
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",16,317.203457007928,340.84,334.74,295.76,NA,NA,322.84,311.68,323.96,284.74,315.68,317.203457007928,113.424953652206,20.3426144314039,15.2304,5.5048668393996
"ANDYDALTON","Andy Dalton","QB","CIN",17,304.741993454142,321.26,313.22,300.18,NA,NA,305.16,294.6,322.2,298.6,306.777142857143,304.741993454142,130.276923076923,11.1188060338801,15.6478,4.41237179396677
"ALEXSMITH","Alex Smith","QB","KC",18,299.571678087854,308.96,288.66,255.58,NA,NA,312.04,318.06,319.74,307.52,300.888571428571,299.571678087854,147.9,22.669459211732,18.3,6.11024348947171
"CARSONPALMER","Carson Palmer","QB","ARI",19,289.357667373867,318.84,321.68,273.94,NA,NA,274.62,271.7,323.3,258.3,290.491428571429,289.357667373867,140,28.1561452312939,14.5,6.39118408373675
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,283.520134622419,303.98,310.76,277.78,NA,NA,264.64,278.9,315.82,294.54,290.934285714286,283.520134622419,141.4,19.1086951038376,11.11195,4.92513200727895
"SAMBRADFORD","Sam Bradford","QB","STL",21,276.281535343662,300.22,318.86,225.94,NA,NA,297.2,253.5,293.7,252.56,277.205714285714,276.281535343662,164.4,33.5006879815638,18.3,7.44403724777289
"JOEFLACCO","Joe Flacco","QB","BAL",22,272.869715836755,296.22,277.16,264.3,NA,NA,260.1,270.96,284.3,271.42,274.5,272.869715836755,160.2,12.2952588616991,16,4.59382735795337
"ELIMANNING","Eli Manning","QB","NYG",23,269.3714177218,286.34,278.38,277.18,NA,NA,237.3,265.74,281.86,256.01,268.061428571429,269.3714177218,139.4,17.3455303697962,13.7652,4.98360467347475
"JAMAALCHARLES","Jamaal Charles","RB","KC",24,264.536841136094,293.2,252.9,250.7,261.6,NA,270.6,268.3,243.8,249.5,260.508333333333,264.536841136094,2.07077640786405,15.9534814830046,1.1913,3.50612456496145
"LESEANMCCOY","LeSean McCoy","RB","PHI",25,253.800425004237,280.2,238.8,246.4,257.4,NA,270,259,251.6,230.1,254.954166666667,253.800425004237,1.70389870043319,16.2326335773695,1.00941766901095,3.52160806103441
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",26,243.989041342938,294.92,195.16,205.34,NA,NA,251.5,206.3,320,288.72,251.845714285714,243.989041342938,144.0125,50.5149479055929,18.44455,9.55424464979172
"EJMANUEL","E.J. Manuel","QB","BUF",27,242.374618261575,245.32,227.14,212.72,NA,NA,242.52,253.62,276.12,255.18,243.674285714286,242.374618261575,173.9,20.4646557101099,17.2,5.72447894662192
"MATTFORTE","Matt Forte","RB","CHI",28,241.945482379613,258.8,238.4,240.3,243.1,NA,232.6,230.5,238.7,225.3,239.179166666667,241.945482379613,4.10129956681106,10.0681871683607,1.29197322556544,2.79184671588693
"ADRIANPETERSON","Adrian Peterson","RB","MIN",29,237.811174837943,246.6,218.6,255.4,239.7,NA,244,236.2,252,229.8,239.679166666667,237.811174837943,2.87922359213596,12.0510150728357,1.2913,3.03594885139403
"JAKELOCKER","Jake Locker","QB","TEN",30,232.618609414211,284.92,245.66,194.72,NA,NA,184.32,162.16,303.14,282.02,235.451428571429,232.618609414211,167.3,56.1780238341005,18.7,10.2781485165973
"JOSHMCCOWN","Josh McCown","QB","TB",31,230.509352715737,280.4,283.74,261.3,NA,NA,219.32,197.26,210.34,194.44,234.137142857143,230.509352715737,144.829268292683,38.8402152904631,18.7804,8.15146394647451
"CALVINJOHNSON","Calvin Johnson","WR","DET",32,228.925278987425,231.8,231,238.4,227.4,NA,230.5,219.7,238.7,203.8,228.079166666667,228.925278987425,5.90454848383872,11.3786689530392,1.4413,2.96873449029245
"GENOSMITH","Geno Smith","QB","NYJ",33,224.110654904527,241.74,218.78,183.86,NA,NA,203.14,231.34,216.88,250.58,219.42,224.110654904527,173.2,22.8481784206719,15,5.78947858763904
"EDDIELACY","Eddie Lacy","RB","GB",34,221.100909908158,244.9,195.9,218.1,220.6,NA,242.7,206.6,234.6,223.1,222.8875,221.100909908158,6.0240253248917,17.048790279665,1.4413,3.66697220597328
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",35,219.674890047265,214,224.6,218,219.7,NA,233,222.9,218.3,196.4,218.879166666667,219.674890047265,9.92989003665445,10.5360520526971,2.0413,2.92729418590225
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",36,209.725370318349,238.2,192,195.4,208.8,NA,211.6,212.6,206.9,195.3,206.75,209.725370318349,14.2311562812396,14.7492372684149,3.0413,3.54999051413722
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",37,208.825566173775,202.3,185.4,234.4,203.8,NA,225.4,206.6,231.2,204.9,210.883333333333,208.825566173775,10.0448017327557,16.8942932038349,2.8413,3.79336576042701
"MONTEEBALL","Montee Ball","RB","DEN",38,205.074810893865,235.8,194.1,187.6,211.1,NA,222.7,210.1,213.8,190.7,207.2375,205.074810893865,13.3928357214262,16.668185049883,3.6826,3.85290838228648
"DEZBRYANT","Dez Bryant","WR","DAL",39,204.849928385825,199.5,205.3,205.5,197.8,NA,220.5,194.6,215.1,206.9,205.35,204.849928385825,13.00973008997,8.72664229324691,2.6826,2.77108962921244
"JULIOJONES","Julio Jones","WR","ATL",40,198.999030157372,194.2,201.3,194.6,197.7,NA,208.7,208.1,202.6,192.82,200.399166666667,198.999030157372,14.8084471842719,6.20359745861797,3.6326,2.55907051565811
"LEVEONBELL","Le'Veon Bell","RB","PIT",41,198.625171500076,205.3,187.5,197.1,201.8,NA,185.3,205.6,213.6,180,196.558333333333,198.625171500076,17.8344218593802,11.6961226786609,5.3326,3.41201847414479
"AJGREEN","A.J. Green","WR","CIN",42,198.25,193.4,194.8,199.6,196.6,NA,204.7,190.7,216.3,181.8,197.304166666667,198.25,15.0227257580806,10.1894816214705,3.2326,3.00835739015346
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",43,195.475,188.3,195.8,195,192.6,NA,206,177.4,203,190.8,194.470833333333,195.475,15.8948017327557,8.85025221593793,2.2913,2.74566680258958
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",44,194.908667095721,240.84,115.52,196.6,NA,NA,208.02,183,188.32,233.74,194.411428571429,194.908667095721,180,41.3918508197654,18.1,8.39500732788321
"JIMMYGRAHAM","Jimmy Graham","TE","NO",45,194.812061207261,202.9,201.8,189.5,189.5,NA,220,180.6,192.5,184.2,195.325,194.812061207261,9.66494501832722,12.6732282503597,3.9239,3.38602000856952
"DOUGMARTIN","Doug Martin","RB","TB",46,193.880084483972,204.3,180.4,204.8,NA,NA,202.4,194.2,196.2,180.2,193.654285714286,193.880084483972,24.0019493502166,10.5725835919856,5.8739,3.32988726732163
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",47,193.031517749945,231.7,188.4,182.5,199.1,NA,163.4,201.4,213.1,176,193.533333333333,193.031517749945,16.8227090969677,21.6769133279757,4.7239,4.57786040139311
"ARIANFOSTER","Arian Foster","RB","HOU",48,192.697452048176,198,180.6,188.1,NA,NA,176.6,196.9,214.8,193.4,192.434285714286,192.697452048176,17.9019660113296,12.6581613048281,8.5152,3.86106570487291
"MATTSCHAUB","Matt Schaub","QB","OAK",49,192.279751127759,234.12,165.42,151.1,NA,NA,249.66,244.2,207.98,115.87,195.238571428571,192.279751127759,190.9,51.9123467743373,16.1,9.48279520540872
"ZACSTACY","Zac Stacy","RB","STL",50,190.549983163421,205.9,181.7,185.4,NA,NA,184,203.3,187.4,189.7,190.102857142857,190.549983163421,24.5064978340553,9.6157608717593,3.9913,3.01651412201433
"ANDREELLINGTON","Andre Ellington","RB","ARI",51,187.675204994262,196,170,168.4,NA,NA,211,192.1,191.6,186,187.26,187.675204994262,30.3961012995668,14.915396327924,6.3152,3.91051385742348
"JORDYNELSON","Jordy Nelson","WR","GB",52,184.350435595247,187.2,192,188.6,185.3,NA,183.8,169.9,190,168.2,183.1125,184.350435595247,21.1740253248917,9.06685486499354,3.6826,2.91685514485225
"TOBYGERHART","Toby Gerhart","RB","JAC",53,184.125298048504,195.4,174.7,154.4,NA,NA,200.6,218.4,175.5,174.2,183.742857142857,184.125298048504,36.859713428857,21.2757966668589,8.8478,4.95681752486248
"ALFREDMORRIS","Alfred Morris","RB","WAS",54,183.375112988678,206.2,186.1,188.9,NA,NA,172.8,183.6,192.3,175.3,184.92,183.375112988678,19.2565144951683,11.1742049892982,4.7326,3.28542542263326
"ANTONIOBROWN","Antonio Brown","WR","PIT",55,182.175003232918,185.5,171.5,190.2,185.5,NA,181,187.6,189.9,164.86,182.668333333333,182.175003232918,24.2869876707764,9.18491892801922,3.9326,2.95736159893568
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",56,181.425,182.5,169.6,190.9,186.6,NA,181.4,175.4,187.6,175.01,183.864166666667,181.425,25.3571142952349,7.29395627998178,4.2326,2.75566331049854
"RANDALLCOBB","Randall Cobb","WR","GB",57,170.974986474609,169.2,157.3,183.6,175.8,NA,165.6,163.1,179.3,161.26,171.689166666667,170.974986474609,29.6149616794402,9.31549707285048,2.6913,2.84450685165177
"FRANKGORE","Frank Gore","RB","SF",58,169.425237363148,171.1,149.1,173.3,NA,NA,196.2,174.8,178.5,161.3,171.305714285714,169.425237363148,45.4461512829057,14.5894776172026,8.9239,4.14134637351628
"VINCENTJACKSON","Vincent Jackson","WR","TB",59,169.424058965316,169.5,161.8,172.7,NA,NA,177.9,160.9,182.2,153,169.211428571429,169.424058965316,34.2941186271243,10.3058929051018,5.4652,3.25459416900562
"REGGIEBUSH","Reggie Bush","RB","DET",60,167.822810974377,180.6,154.5,184,NA,NA,173.3,144.6,192.4,137.5,165.242857142857,167.822810974377,38.8447850716428,21.1598676744445,8.4239,4.89851089300436
"RYANMATHEWS","Ryan Mathews","RB","SD",61,167.552020896949,179.8,167.9,166.1,NA,NA,162,160,183.1,159.1,167.445714285714,167.552020896949,42.1877040986338,9.56999278499007,6.5739,3.27913430080108
