"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,630,424,5457,44,14,67.3,8.7,15,0,0,0,NA,NA,NA,NA,NA,3,440
"DREWBREES","Drew Brees","QB","NO",2,2,633,421,5168,41,16,66.5,8.2,30,57,1.9,0,NA,NA,NA,NA,NA,2,410
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,564,378,4964,36,8,67,8.8,45,187,4.2,2,NA,NA,NA,NA,NA,3,408
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,637,408,5207,38,19,64.1,8.2,32,70,2.2,0,NA,NA,NA,NA,NA,3,388
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,550,348,4326,29,10,63.3,7.9,87,461,5.3,4,NA,NA,NA,NA,NA,2,375
"NICKFOLES","Nick Foles","QB","PHI",6,6,612,399,4870,32,15,65.2,8,58,199,3.4,1,NA,NA,NA,NA,NA,3,362
"TOMBRADY","Tom Brady","QB","NE",7,7,644,412,4877,34,15,64,7.6,31,42,1.4,1,NA,NA,NA,NA,NA,4,361
"MATTRYAN","Matt Ryan","QB","ATL",8,8,635,407,4781,30,14,64.1,7.5,21,54,2.6,1,NA,NA,NA,NA,NA,3,336
"TONYROMO","Tony Romo","QB","DAL",9,9,631,397,4582,33,16,62.9,7.3,26,50,1.9,0,NA,NA,NA,NA,NA,4,335
"ANDREWLUCK","Andrew Luck","QB","IND",10,10,551,346,4279,27,15,62.8,7.8,60,292,4.9,3,NA,NA,NA,NA,NA,2,329
"JAYCUTLER","Jay Cutler","QB","CHI",11,11,544,341,4102,31,14,62.7,7.5,21,86,4.1,2,NA,NA,NA,NA,NA,3,326
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",12,12,553,336,4230,25,16,60.8,7.6,78,406,5.2,3,NA,NA,NA,NA,NA,3,324
"PHILIPRIVERS","Philip Rivers","QB","SD",13,13,587,389,4766,30,17,66.3,8.1,31,68,2.2,0,NA,NA,NA,NA,NA,4,322
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",14,14,626,400,4641,30,17,63.9,7.4,32,91,2.8,0,NA,NA,NA,NA,NA,3,321
"CAMNEWTON","Cam Newton","QB","CAR",15,15,526,316,3840,24,15,60.1,7.3,95,445,4.7,5,NA,NA,NA,NA,NA,4,317
"CARSONPALMER","Carson Palmer","QB","ARI",16,16,568,356,4522,33,25,62.7,8,25,8,0.3,0,NA,NA,NA,NA,NA,4,314
