"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,443.704598976852,447.76,448.28,471,449.5,NA,437.92,462.98,437.98,435.32,447.8675,443.704598976852
"DREWBREES","Drew Brees","QB","NO",2,412.876691880523,410.6,422.42,411.6,418.08,NA,401.92,417.42,416.22,405.78,413.11,412.876691880523
"AARONRODGERS","Aaron Rodgers","QB","GB",3,405.011359353006,421.46,423.26,429.62,415.42,NA,376.74,413.2,410.08,379.08,407.1825,405.011359353006
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,365.872142215395,393.82,399.28,355.24,376.3,NA,362.96,329.06,361.58,354.92,365.595,365.872142215395
"NICKFOLES","Nick Foles","QB","PHI",5,357.546410679322,343.3,376.7,338.06,366.64,NA,367.3,368.3,359.94,354.74,359.1625,357.546410679322
"ANDREWLUCK","Andrew Luck","QB","IND",6,352.43833984927,370.58,346.36,335.34,352.46,NA,362,344.1,373,342.48,352.6,352.43833984927
"TOMBRADY","Tom Brady","QB","NE",7,344.313624020921,353.42,371.28,317.58,NA,NA,347.5,323.84,352.68,352,344.534285714286,344.313624020921
"MATTRYAN","Matt Ryan","QB","ATL",8,343.025103728766,370.98,348.64,323.68,352.48,NA,322.76,338.4,347.48,348.92,342.6825,343.025103728766
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,339.903757421687,363.14,393.14,316.52,354.24,NA,348.4,331.22,350.54,314.14,345.6825,339.903757421687
"TONYROMO","Tony Romo","QB","DAL",10,339.779683079201,363.94,346.28,327.06,NA,NA,322.54,322.16,353.68,340.98,338.82,339.779683079201
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",11,338.788738389585,360.32,339.8,337.86,352.2,NA,318.96,324.88,355.2,334.48,339.9675,338.788738389585
"CAMNEWTON","Cam Newton","QB","CAR",12,336.145878033662,342.94,334.1,336.3,340.62,NA,344.36,349.2,358.14,312.84,339.2725,336.145878033662
"JAYCUTLER","Jay Cutler","QB","CHI",13,327.525420833131,356.98,336.68,307.72,NA,NA,328.84,312.66,335.54,315.18,327.94,327.525420833131
"RUSSELLWILSON","Russell Wilson","QB","SEA",14,324.84669369821,331.74,319,328.26,NA,NA,342.88,330.14,340.58,307.84,327.154285714286,324.84669369821
"PHILIPRIVERS","Philip Rivers","QB","SD",15,320.811862219307,323.18,335.44,324.18,NA,NA,306.6,321.26,334.02,316.95,321.955714285714,320.811862219307
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",16,317.203457007928,340.84,334.74,295.76,NA,NA,322.84,311.68,323.96,284.74,315.68,317.203457007928
"ANDYDALTON","Andy Dalton","QB","CIN",17,304.741993454142,321.26,313.22,300.18,NA,NA,305.16,294.6,322.2,298.6,306.777142857143,304.741993454142
"ALEXSMITH","Alex Smith","QB","KC",18,299.571678087854,308.96,288.66,255.58,NA,NA,312.04,318.06,319.74,307.52,300.888571428571,299.571678087854
"CARSONPALMER","Carson Palmer","QB","ARI",19,289.357667373867,318.84,321.68,273.94,NA,NA,274.62,271.7,323.3,258.3,290.491428571429,289.357667373867
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,283.520134622419,303.98,310.76,277.78,NA,NA,264.64,278.9,315.82,294.54,290.934285714286,283.520134622419
"SAMBRADFORD","Sam Bradford","QB","STL",21,276.281535343662,300.22,318.86,225.94,NA,NA,297.2,253.5,293.7,252.56,277.205714285714,276.281535343662
"JOEFLACCO","Joe Flacco","QB","BAL",22,272.869715836755,296.22,277.16,264.3,NA,NA,260.1,270.96,284.3,271.42,274.5,272.869715836755
