name,player,pos,team,overallRank,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk
PEYTONMANNING,Peyton Manning,QB,DEN,1,447.8675,443.704599,17.96687771,12.60893759,7.9565,3.796971627
DREWBREES,Drew Brees,QB,NO,2,413.11,412.8766919,24.77472509,6.835434985,4.9826,2.777102414
AARONRODGERS,Aaron Rodgers,QB,GB,3,407.1825,405.0113594,23.34866711,19.92302311,6.0739,4.502105802
MATTHEWSTAFFORD,Matthew Stafford,QB,DET,4,365.595,365.8721422,48.71167944,22.72870495,7.0739,4.951477454
NICKFOLES,Nick Foles,QB,PHI,5,359.1625,357.5464107,66.92079307,13.25537277,9.9152,4.080027164
ANDREWLUCK,Andrew Luck,QB,IND,6,352.6,352.4383398,54.45448184,13.81262776,9.3978,4.09490676
TOMBRADY,Tom Brady,QB,NE,7,344.5342857,344.313624,72.94935022,18.59127701,9.0565,4.647914585
MATTRYAN,Matt Ryan,QB,ATL,8,342.6825,343.0251037,73.2344052,15.82427046,15.1543,4.940558289
COLINKAEPERNICK,Colin Kaepernick,QB,SF,9,345.6825,339.9037574,87.41296235,25.94337887,11.9891,5.857887937
TONYROMO,Tony Romo,QB,DAL,10,338.82,339.7796831,85.19343552,16.27683835,12.9565,4.768002207
ROBERTGRIFFIN,Robert Griffin III,QB,WAS,11,339.9675,338.7887384,70.01812729,14.62608799,11.4891,4.412303564
CAMNEWTON,Cam Newton,QB,CAR,12,339.2725,336.145878,77.79153615,13.24290403,17.5543,4.87196963
JAYCUTLER,Jay Cutler,QB,CHI,13,327.94,327.5254208,92.68120626,17.23786309,14.1891,5.014376912
RUSSELLWILSON,Russell Wilson,QB,SEA,14,327.1542857,324.8466937,106.9874342,12.13064282,17.1304,4.690971315
PHILIPRIVERS,Philip Rivers,QB,SD,15,321.9557143,320.8118622,104.8356714,9.883928032,15.3065,4.224853748
BENROETHLISBERGER,Ben Roethlisberger,QB,PIT,16,315.68,317.203457,113.4249537,20.34261443,15.2304,5.504866839
ANDYDALTON,Andy Dalton,QB,CIN,17,306.7771429,304.7419935,130.2769231,11.11880603,15.6478,4.412371794
ALEXSMITH,Alex Smith,QB,KC,18,300.8885714,299.5716781,147.9,22.66945921,18.3,6.110243489
CARSONPALMER,Carson Palmer,QB,ARI,19,290.4914286,289.3576674,140,28.15614523,14.5,6.391184084
RYANTANNEHILL,Ryan Tannehill,QB,MIA,20,290.9342857,283.5201346,141.4,19.1086951,11.11195,4.925132007
SAMBRADFORD,Sam Bradford,QB,STL,21,277.2057143,276.2815353,164.4,33.50068798,18.3,7.444037248
JOEFLACCO,Joe Flacco,QB,BAL,22,274.5,272.8697158,160.2,12.29525886,16,4.593827358
ELIMANNING,Eli Manning,QB,NYG,23,268.0614286,269.3714177,139.4,17.34553037,13.7652,4.983604673
JAMAALCHARLES,Jamaal Charles,RB,KC,24,260.5083333,264.5368411,2.070776408,15.95348148,1.1913,3.506124565
LESEANMCCOY,LeSean McCoy,RB,PHI,25,254.9541667,253.800425,1.7038987,16.23263358,1.009417669,3.521608061
JOHNNYMANZIEL,Johnny Manziel,QB,CLE,26,251.8457143,243.9890413,144.0125,50.51494791,18.44455,9.55424465
EJMANUEL,E.J. Manuel,QB,BUF,27,243.6742857,242.3746183,173.9,20.46465571,17.2,5.724478947
MATTFORTE,Matt Forte,RB,CHI,28,239.1791667,241.9454824,4.101299567,10.06818717,1.291973226,2.791846716
ADRIANPETERSON,Adrian Peterson,RB,MIN,29,239.6791667,237.8111748,2.879223592,12.05101507,1.2913,3.035948851
JAKELOCKER,Jake Locker,QB,TEN,30,235.4514286,232.6186094,167.3,56.17802383,18.7,10.27814852
JOSHMCCOWN,Josh McCown,QB,TB,31,234.1371429,230.5093527,144.8292683,38.84021529,18.7804,8.151463946
CALVINJOHNSON,Calvin Johnson,WR,DET,32,228.0791667,228.925279,5.904548484,11.37866895,1.4413,2.96873449
GENOSMITH,Geno Smith,QB,NYJ,33,219.42,224.1106549,173.2,22.84817842,15,5.789478588
EDDIELACY,Eddie Lacy,RB,GB,34,222.8875,221.1009099,6.024025325,17.04879028,1.4413,3.666972206
DEMARYIUSTHOMAS,Demaryius Thomas,WR,DEN,35,218.8791667,219.67489,9.929890037,10.53605205,2.0413,2.927294186
DEMARCOMURRAY,DeMarco Murray,RB,DAL,36,206.75,209.7253703,14.23115628,14.74923727,3.0413,3.549990514
MARSHAWNLYNCH,Marshawn Lynch,RB,SEA,37,210.8833333,208.8255662,10.04480173,16.8942932,2.8413,3.79336576
MONTEEBALL,Montee Ball,RB,DEN,38,207.2375,205.0748109,13.39283572,16.66818505,3.6826,3.852908382
DEZBRYANT,Dez Bryant,WR,DAL,39,205.35,204.8499284,13.00973009,8.726642293,2.6826,2.771089629
JULIOJONES,Julio Jones,WR,ATL,40,200.3991667,198.9990302,14.80844718,6.203597459,3.6326,2.559070516
LEVEONBELL,Le'Veon Bell,RB,PIT,41,196.5583333,198.6251715,17.83442186,11.69612268,5.3326,3.412018474
AJGREEN,A.J. Green,WR,CIN,42,197.3041667,198.25,15.02272576,10.18948162,3.2326,3.00835739
BRANDONMARSHALL,Brandon Marshall,WR,CHI,43,194.4708333,195.475,15.89480173,8.850252216,2.2913,2.745666803
RYANFITZPATRICK,Ryan Fitzpatrick,QB,HOU,44,194.4114286,194.9086671,180,41.39185082,18.1,8.395007328
JIMMYGRAHAM,Jimmy Graham,TE,NO,45,195.325,194.8120612,9.664945018,12.67322825,3.9239,3.386020009
DOUGMARTIN,Doug Martin,RB,TB,46,193.6542857,193.8800845,24.00194935,10.57258359,5.8739,3.329887267
