player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Jamaal Charles,RB,KC,1,264.5368411,260.5083333,264.5368411,2.070776408,15.95348148,1.1913,3.506124565,1,146.508087
LeSean McCoy,RB,PHI,2,253.800425,254.9541667,253.800425,1.7038987,16.23263358,1.009417669,3.521608061,2,135.7716709
Matt Forte,RB,CHI,3,241.9454824,239.1791667,241.9454824,4.101299567,10.06818717,1.291973226,2.791846716,3,123.9167282
Peyton Manning,QB,DEN,4,443.704599,447.8675,443.704599,17.96687771,12.60893759,7.9565,3.796971627,1,122.7505947
Adrian Peterson,RB,MIN,5,237.8111748,239.6791667,237.8111748,2.879223592,12.05101507,1.2913,3.035948851,4,119.7824207
Calvin Johnson,WR,DET,6,228.925279,228.0791667,228.925279,5.904548484,11.37866895,1.4413,2.96873449,1,104.9638111
Eddie Lacy,RB,GB,7,221.1009099,222.8875,221.1009099,6.024025325,17.04879028,1.4413,3.666972206,5,103.0721558
Demaryius Thomas,WR,DEN,8,219.67489,218.8791667,219.67489,9.929890037,10.53605205,2.0413,2.927294186,2,95.71342215
Drew Brees,QB,NO,9,412.8766919,413.11,412.8766919,24.77472509,6.835434985,4.9826,2.777102414,2,91.92268757
DeMarco Murray,RB,DAL,10,209.7253703,206.75,209.7253703,14.23115628,14.74923727,3.0413,3.549990514,6,91.69661619
Marshawn Lynch,RB,SEA,11,208.8255662,210.8833333,208.8255662,10.04480173,16.8942932,2.8413,3.79336576,7,90.79681204
Jimmy Graham,TE,NO,12,194.8120612,195.325,194.8120612,9.664945018,12.67322825,3.9239,3.386020009,1,89.0369221
Montee Ball,RB,DEN,13,205.0748109,207.2375,205.0748109,13.39283572,16.66818505,3.6826,3.852908382,8,87.04605676
Aaron Rodgers,QB,GB,14,405.0113594,407.1825,405.0113594,23.34866711,19.92302311,6.0739,4.502105802,3,84.05735504
Dez Bryant,WR,DAL,15,204.8499284,205.35,204.8499284,13.00973009,8.726642293,2.6826,2.771089629,3,80.88846049
Le'Veon Bell,RB,PIT,16,198.6251715,196.5583333,198.6251715,17.83442186,11.69612268,5.3326,3.412018474,9,80.59641737
Doug Martin,RB,TB,17,193.8800845,193.6542857,193.8800845,24.00194935,10.57258359,5.8739,3.329887267,10,75.85133035
Julio Jones,WR,ATL,18,198.9990302,200.3991667,198.9990302,14.80844718,6.203597459,3.6326,2.559070516,4,75.03756226
Giovani Bernard,RB,CIN,19,193.0315177,193.5333333,193.0315177,16.8227091,21.67691333,4.7239,4.577860401,11,75.00276362
Arian Foster,RB,HOU,20,192.697452,192.4342857,192.697452,17.90196601,12.6581613,8.5152,3.861065705,12,74.66869792
A.J. Green,WR,CIN,21,198.25,197.3041667,198.25,15.02272576,10.18948162,3.2326,3.00835739,5,74.2885321
Zac Stacy,RB,STL,22,190.5499832,190.1028571,190.5499832,24.50649783,9.615760872,3.9913,3.016514122,13,72.52122903
