"name","player","team","rank","risk"
"MATTPRATER","Matt Prater","DEN",1.8,1
"STEPHENGOSTKOWSKI","Stephen Gostkowski","NE",1.9,1.3
"JUSTINTUCKER","Justin Tucker","BAL",4.4,2.2
"STEVENHAUSCHKA","Steven Hauschka","SEA",4.9,2.5
"PHILDAWSON","Phil Dawson","SF",5.7,3.9
"DANBAILEY","Dan Bailey","DAL",6.5,1.7
"MASONCROSBY","Mason Crosby","GB",7.4,2.8
"MATTBRYANT","Matt Bryant","ATL",9,2.8
"BLAIRWALSH","Blair Walsh","MIN",9.4,4
"ADAMVINATIERI","Adam Vinatieri","IND",10.4,2.5
"NICKNOVAK","Nick Novak","SD",10.7,2.6
"ROBBIEGOULD","Robbie Gould","CHI",11.5,2.5
"SHAYNEGRAHAM","Shayne Graham","NO",13.5,3.9
"ALEXHENERY","Alex Henery","PHI",13.8,3.1
"GREGZUERLEIN","Greg Zuerlein","STL",14.1,3.1
"SEBASTIANJANIKOWSKI","Sebastian Janikowski","OAK",17.1,3.1
"RYANSUCCOP","Ryan Succop","KC",17.3,3
"GRAHAMGANO","Graham Gano","CAR",18.4,3.1
"CALEBSTURGIS","Caleb Sturgis","MIA",18.8,3.3
"DAVIDAKERS","David Akers",NA,19.2,1
"KAIFORBATH","Kai Forbath","WAS",20.2,5.3
"NATEFREESE","Nate Freese","DET",20.6,6.5
"JAYFEELY","Jay Feely","ARI",21.1,4.4
"NICKFOLK","Nick Folk","NYJ",21.1,3.8
"SHAUNSUISHAM","Shaun Suisham","PIT",21.1,2.7
"MIKENUGENT","Mike Nugent","CIN",22,4
"DANCARPENTER","Dan Carpenter","BUF",22.6,4.3
"CONNORBARTH","Connor Barth","TB",24.4,4.6
"JOSHBROWN","Josh Brown","NYG",24.9,4.9
"RANDYBULLOCK","Randy Bullock","HOU",27.7,2.3
"BILLYCUNDIFF","Billy Cundiff","CLE",28,2.2
"JOSHSCOBEE","Josh Scobee","JAC",29.7,2.3
"MAIKONBONANI","Maikon Bonani","TEN",30.5,2.7
"DUSTINHOPKINS","Dustin Hopkins","BUF",31.3,2
"GIORGIOTAVECCHIO","Giorgio Tavecchio","DET",32.3,1.9
